,Actl FanDuel Scr,Prdctd Scr(Pos Bsd),Prdctd Scr(Plr-Bsd),Prdctd Scr(Clstr-Bsd),Pct Err(Pos-Bsd),Pct Err(Plr-Bsd),Pct Err(Clstr-Bsd)
J.J. Redick,25.6,16.8015159406,7.11787247816,21.6044474166,0.343690783571,0.721958106322,0.15607627279
Jeff Green,32.2,15.407307526,18.6465345298,19.9971964532,0.521512188635,0.420915076713,0.378969054249
Al Jefferson,25.9,26.2024469343,32.9714520366,22.2611857461,0.0116774878093,0.273029036163,0.140494758838
Mason Plumlee,36.0,26.0717781049,7.95817293178,25.276044246,0.275783941531,0.778939640784,0.297887659834
Pablo Prigioni,6.4,11.9920622116,19.5170713766,8.58314690441,0.873759720562,2.0495424026,0.341116703815
Marreese Speights,6.4,17.4682651115,17.9423271945,13.767168017,1.72941642367,1.80348862414,1.15112000266
Dwyane Wade,32.0,30.2622596943,28.1962604497,33.978537428,0.0543043845523,0.118866860947,0.0618292946239
Josh McRoberts,8.1,10.6105523334,5.52006469807,9.09398622849,0.309944732524,0.318510531102,0.122714349197
Marvin Williams,33.6,14.8416424535,15.5103828017,22.8556398559,0.558284450789,0.538381464236,0.319772623336
K.J. McDaniels,5.9,6.30803216706,-3.695862442,4.83690065938,0.0691579944177,1.62641736305,0.180186328918
C.J. Wilcox,1.2,8.59516690468,21.1162911971,5.83898505633,6.16263908723,16.5969093309,3.86582088027
Cole Aldrich,21.6,15.6800708157,20.0667336044,15.1742851654,0.274070795568,0.0709845553528,0.297486797898
Klay Thompson,32.1,29.6482214211,44.199429816,31.3665782978,0.07637939498,0.376929277757,0.0228480281058
Draymond Green,43.8,32.6421723914,42.9217399141,37.1680689208,0.25474492257,0.0200516001338,0.15141395158
James Harden,48.2,40.4013482027,16.7817925454,47.5821419622,0.16179775513,0.651830030178,0.0128186314892
Goran Dragic,23.7,24.8264122604,24.6502458391,27.8700436228,0.0475279434753,0.0400947611448,0.175951207712
Noah Vonleh,1.2,6.45039356933,6.03815191594,9.23176960123,4.37532797445,4.03179326328,6.69314133436
Clint Capela,8.9,14.616730602,32.9082858755,18.6981964275,0.642329281127,2.69756021073,1.10092094691
Jeremy Lin,26.7,21.4263738724,-1.15020738898,21.0933024961,0.197514087176,1.04307892843,0.209988670558
Andrew Bogut,18.5,13.4434114061,21.500033067,18.9745186481,0.273329113182,0.162163949569,0.0256496566553
Festus Ezeli,5.7,10.6776454417,10.5842585332,16.9599952464,0.873271130115,0.85688746196,1.97543776253
Andre Iguodala,21.4,18.7726061564,36.6021680574,18.5364635099,0.122775413254,0.710381684925,0.133810116358
Michael Beasley,21.4,14.3743875071,5.56116485236,20.0201015292,0.328299649202,0.740132483535,0.0644812369523
Kemba Walker,29.5,30.373128136,20.4842782782,36.425606173,0.0295975639309,0.305617685484,0.234766310948
Ed Davis,8.0,15.796068675,19.3413622543,19.3253944042,0.974508584373,1.41767028179,1.41567430052
Harrison Barnes,12.1,20.9930546443,24.4765629874,20.0881770748,0.734963193746,1.02285644524,0.660179923541
Dwight Howard,38.7,30.4147013716,39.2258336476,33.0228742045,0.214090403834,0.0135874327544,0.146695756989
C.J. McCollum,40.8,28.2294727592,27.4538079834,32.47037508,0.308101157862,0.327112549425,0.20415747353
Gerald Henderson,26.0,13.4132892325,9.73102391822,13.5500161385,0.484104260289,0.625729849299,0.478845533135
Donatas Motiejunas,15.8,18.7058970011,4.04774372715,12.3165803738,0.183917531716,0.743813688155,0.220469596597
Ian Clark,18.1,7.45690829384,2.88542198134,7.33471523203,0.588016116362,0.840584420921,0.594767114253
Patrick Beverley,8.8,22.606999336,36.0763093104,21.6059903537,1.56897719727,3.09958060345,1.45522617656
Hassan Whiteside,30.4,33.8767176452,32.9986549106,35.2715612912,0.114365712015,0.085482069427,0.160248726686
Brandon Rush,17.9,5.90755988298,14.2210291986,8.29564088786,0.669968721621,0.205529095051,0.53655637498
Damian Lillard,34.7,35.2485658341,55.2516248694,40.1859102453,0.0158088136635,0.592265846381,0.158095396118
Nicolas Batum,15.1,21.8155112326,38.7491984361,29.3480806901,0.444735843222,1.56617208186,0.943581502653
Shaun Livingston,23.1,21.594755637,8.93161468891,15.6505745928,0.0651620936349,0.613350013467,0.322485948362
Austin Rivers,18.1,16.6639101153,22.2586685382,14.2966076176,0.0793419825821,0.229760692719,0.210132175825
Leandro Barbosa,19.3,9.26410405699,10.2528751715,11.1481345292,0.519994608446,0.46876294448,0.422376449262
Josh Richardson,17.8,16.0011910728,-14.6915764969,13.6769116571,0.101056681302,1.82536946612,0.231634176566
Corey Brewer,4.0,10.7590071707,5.3450530584,13.4708916854,1.68975179267,0.336263264599,2.36772292134
Cody Zeller,10.1,14.7223625017,18.988890402,19.5250597647,0.457659653637,0.880088158613,0.933174234131
Courtney Lee,12.7,15.6395572578,14.9159457991,17.2094709766,0.231461201404,0.174483921189,0.35507645485
Spencer Hawes,13.3,9.02658894117,4.36924631427,13.6384356627,0.321309102168,0.671485239528,0.025446290427
Andrew Goudelock,4.2,5.7976134508,2.04673642009,5.60865548366,0.380384154952,0.512681804742,0.335394162775
Luol Deng,25.7,27.0379305565,20.5170892598,23.7717945453,0.0520595547265,0.201669678608,0.0750274495993
James Michael McAdoo,4.0,4.81925292081,9.81515290522,6.24536185369,0.204813230202,1.4537882263,0.561340463422
Justise Winslow,21.3,15.4848616214,20.2806975444,14.4738889688,0.273011191484,0.0478545753823,0.320474696301
Jamal Crawford,29.6,23.965150924,4.92703910501,20.6486456083,0.190366522839,0.833545976182,0.302410621341
Joe Johnson,26.5,21.63981068,12.8295258597,21.8172200108,0.183403370564,0.515866948692,0.176708678837
Jason Terry,6.3,14.6673196736,11.4600701121,11.1237230893,1.32814597994,0.819058747958,0.765670331636
Trevor Ariza,6.7,21.454856795,14.7150145783,24.5490190343,2.20221743208,1.19627083258,2.66403269169
Josh Smith,6.2,13.9653694412,8.42031507328,15.0189864808,1.25247894213,0.358115334401,1.42241717432
DeAndre Jordan,45.9,32.7348121274,29.2924457049,34.2428989271,0.286823265197,0.361820355014,0.253967343635
Anderson Varejao,7.6,7.23439577077,5.35206171432,6.82340159188,0.0481058196355,0.295781353379,0.102184001069
Maurice Harkless,30.0,19.0934093302,30.3845208976,14.4547747393,0.363553022327,0.012817363252,0.518174175358
Wesley Johnson,10.0,13.2228909589,10.2254295575,13.9689238359,0.32228909589,0.0225429557485,0.396892383586
Allen Crabbe,22.3,11.1160869768,16.2672265409,15.7546400809,0.501520763374,0.270527957809,0.293513897719
Al-Farouq Aminu,20.6,23.874101583,14.2598735109,20.9462909764,0.15893697005,0.307773130541,0.0168102415745
Paul Pierce,3.4,13.4086149956,19.6466995017,10.1665141709,2.94371029282,4.7784410299,1.99015122673
